Place,Time,Marking
>New batch arrives,3.0,2
>New batch arrives,4.5,3
>New batch arrives,4.5,4
Heat-sealing packaging,5.24,0
Sealer standby state,5.24,1
Sealer standby state,5.24,0
Heat-sealing packaging,5.24,1
>New batch arrives,5.24,3
Heat-sealing packaging,5.24,1
>New batch arrives,5.24,2
>New batch arrives,6.0,3
>New batch arrives,6.0,4
>New batch arrives,7.5,5
>New batch arrives,7.5,6
Heat-sealing packaging,8.74,0
Sealer standby state,8.74,1
Sealer standby state,8.74,0
Heat-sealing packaging,8.74,1
>New batch arrives,8.74,5
Heat-sealing packaging,8.74,1
>New batch arrives,8.74,4
>New batch arrives,9.0,5
>New batch arrives,9.0,6
>New batch arrives,10.5,7
>New batch arrives,10.5,8
Heat-sealing packaging,11.95,0
Sealer standby state,11.95,1
Sealer standby state,11.95,0
Heat-sealing packaging,11.95,1
>New batch arrives,11.95,7
Heat-sealing packaging,11.95,1
>New batch arrives,11.95,6
>New batch arrives,12.0,7
>New batch arrives,12.0,8
>New batch arrives,13.5,9
>New batch arrives,13.5,10
>New batch arrives,15.0,11
>New batch arrives,15.0,12
Heat-sealing packaging,15.82,0
Sealer standby state,15.82,1
Sealer standby state,15.82,0
Heat-sealing packaging,15.82,1
>New batch arrives,15.82,11
Heat-sealing packaging,15.82,1
>New batch arrives,15.82,10
>New batch arrives,16.5,11
>New batch arrives,16.5,12
>New batch arrives,18.0,13
>New batch arrives,18.0,14
Heat-sealing packaging,19.33,0
Sealer standby state,19.33,1
Sealer standby state,19.33,0
Heat-sealing packaging,19.33,1
>New batch arrives,19.33,13
Heat-sealing packaging,19.33,1
>New batch arrives,19.33,12
>New batch arrives,19.5,13
>New batch arrives,19.5,14
>New batch arrives,21.0,15
>New batch arrives,21.0,16
>New batch arrives,22.5,17
>New batch arrives,22.5,18
Heat-sealing packaging,22.73,0
Sealer standby state,22.73,1
Sealer standby state,22.73,0
Heat-sealing packaging,22.73,1
>New batch arrives,22.73,17
Heat-sealing packaging,22.73,1
>New batch arrives,22.73,16
>New batch arrives,24.0,17
>New batch arrives,24.0,18
>New batch arrives,25.5,19
>New batch arrives,25.5,20
Heat-sealing packaging,26.15,0
Sealer standby state,26.15,1
Sealer standby state,26.15,0
Heat-sealing packaging,26.15,1
>New batch arrives,26.15,19
Heat-sealing packaging,26.15,1
>New batch arrives,26.15,18
>New batch arrives,27.0,19
>New batch arrives,27.0,20
>New batch arrives,28.5,21
>New batch arrives,28.5,22
Heat-sealing packaging,29.84,0
Sealer standby state,29.84,1
Sealer standby state,29.84,0
Heat-sealing packaging,29.84,1
>New batch arrives,29.84,21
Heat-sealing packaging,29.84,1
>New batch arrives,29.84,20
>New batch arrives,30.0,21
>New batch arrives,30.0,22
>New batch arrives,31.5,23
>New batch arrives,31.5,24
>New batch arrives,33.0,25
>New batch arrives,33.0,26
Heat-sealing packaging,33.42,0
Sealer standby state,33.42,1
Sealer standby state,33.42,0
Heat-sealing packaging,33.42,1
>New batch arrives,33.42,25
Heat-sealing packaging,33.42,1
